"quellcode","land","produkt","bereitsteller","datenstand","lizenz","lizenz_url","quellenvermerk","lokale_dokumentation"
"BASEMAP","Deutschland","basemap.de Web Vektor","GeoBasis-DE / Bundesamt für Kartographie und Geodäsie","2026-07-20","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/","© GeoBasis-DE / BKG (2026) CC BY 4.0; Daten bearbeitet, abgerufen am 28.08.2026.","../../basemap/2026-08-28/QUELLE-UND-LIZENZ.md"
"LAND-BB","Brandenburg","BB-BE Gazetteer – Hauskoordinaten","GeoBasis-DE / LGB","Abruf 2026-08-27","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","Quelle: GeoBasis-DE / LGB, BB-BE Gazetteer – Hauskoordinaten, dl-de/by-2-0; Daten verändert, abgerufen am 27.08.2026.","../../../BB/2026-08-27/QUELLE-UND-LIZENZ.md"
"LAND-BE","Berlin","BB-BE Gazetteer – Hauskoordinaten","GeoBasis-DE / LGB; Berliner Daten aus Geoportal Berlin","Abruf 2026-08-27","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","Quelle: GeoBasis-DE / LGB, BB-BE Gazetteer – Hauskoordinaten; Berliner Daten aus Geoportal Berlin / Amtliche Hauskoordinaten; dl-de/by-2-0; Daten verändert, abgerufen am 27.08.2026.","../../../BE/2026-08-27/QUELLE-UND-LIZENZ.md"
"LAND-BW","Baden-Württemberg","Hauskoordinaten ohne postalische Angaben","Landesamt für Geoinformation und Landentwicklung Baden-Württemberg","2026-07-15","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","Datenquelle: LGL, www.lgl-bw.de, dl-de/by-2-0; Daten bearbeitet, abgerufen am 28.08.2026.","../../../BW/2026-08-28/QUELLE-UND-LIZENZ.md"
"LAND-HB","Bremen","ALKIS – Gebäudeadressen Land Bremen","Landesamt GeoInformation Bremen","2026-08","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/","Landesamt GeoInformation Bremen; ALKIS – Gebäudeadressen Land Bremen; CC BY 4.0; Quelle verändert, abgerufen am 28.08.2026.","../../../HB/2026-08-28/QUELLE-UND-LIZENZ.md"
"LAND-HE","Hessen","Hauskoordinaten ohne Postalische Angaben","Hessisches Landesamt für Bodenmanagement und Geoinformation","2026-01","DL-DE-ZERO-2.0","https://www.govdata.de/dl-de/zero-2-0","Hessisches Landesamt für Bodenmanagement und Geoinformation (HLBG), Hauskoordinaten ohne Postalische Angaben, Version 2026-01; dl-de/zero-2-0; bearbeiteter Export.","../../../HE/2026-08-28/QUELLE-UND-LIZENZ.md"
"LAND-HH","Hamburg","Zentraler AdressService Hamburg – Hauskoordinaten","Freie und Hansestadt Hamburg, Landesbetrieb Geoinformation und Vermessung","Abruf 2026-08-28","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","Freie und Hansestadt Hamburg, Landesbetrieb Geoinformation und Vermessung; Zentraler AdressService Hamburg, Collection Hauskoordinaten; dl-de/by-2-0; Quelle verändert, abgerufen am 28.08.2026.","../../../HH/2026-08-28/QUELLE-UND-LIZENZ.md"
"LAND-NI","Niedersachsen","ALKIS Open Data und ALKIS Straßennamen","Landesamt für Geoinformation und Landesvermessung Niedersachsen","2026-08-28 / 2026-08-21","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/","LGLN (2026), ALKIS Open Data und ALKIS Straßennamen, CC BY 4.0; Quelle verändert, abgerufen am 28.08.2026.","../../../NI/2026-08-28/QUELLE-UND-LIZENZ.md"
"LAND-NW","Nordrhein-Westfalen","Gebäudereferenzen NRW und INSPIRE NW Adressen ALKIS","Geobasis NRW, Bezirksregierung Köln","2026-07-01 / Abruf 2026-08-28","DL-DE-ZERO-2.0","https://www.govdata.de/dl-de/zero-2-0","Geobasis NRW, Bezirksregierung Köln; Gebäudereferenzen NRW und INSPIRE NW Adressen ALKIS; dl-de/zero-2-0; bearbeiteter Export.","../../../NW/2026-08-28/QUELLE-UND-LIZENZ.md"
"LAND-RP","Rheinland-Pfalz","Amtliche Gebäudereferenz / Hauskoordinaten ohne postalische Anreicherung","GeoBasis-DE / LVermGeoRP","2026-03-30","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","©GeoBasis-DE / LVermGeoRP2026, dl-de/by-2-0, www.lvermgeo.rlp.de, Daten bearbeitet; abgerufen am 28.08.2026.","../../../RP/2026-08-28/QUELLE-UND-LIZENZ.md"
