"code","gebiet","produkt","bereitsteller","datenstand_oder_abruf","lizenz","lizenz_url","quelle_url","quellenvermerk"
"LAND-BB","Brandenburg","BB-BE Gazetteer – Hauskoordinaten","GeoBasis-DE / LGB","Abruf 2026-08-27","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","https://ogc-api.geobasis-bb.de/datasets/gazetteer/collections/Hauskoordinaten","Quelle: GeoBasis-DE / LGB, BB-BE Gazetteer – Hauskoordinaten, dl-de/by-2-0; Daten verändert, abgerufen am 27.08.2026."
"LAND-BE","Berlin","BB-BE Gazetteer – Hauskoordinaten","GeoBasis-DE / LGB; Berliner Daten aus Geoportal Berlin","Abruf 2026-08-27","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","https://ogc-api.geobasis-bb.de/datasets/gazetteer/collections/Hauskoordinaten","Quelle: GeoBasis-DE / LGB, BB-BE Gazetteer – Hauskoordinaten; Berliner Daten laut Collection-Metadaten aus Geoportal Berlin / Amtliche Hauskoordinaten; dl-de/by-2-0; Daten verändert, abgerufen am 27.08.2026."
"LAND-BW","Baden-Württemberg","Hauskoordinaten ohne postalische Angaben","Landesamt für Geoinformation und Landentwicklung Baden-Württemberg","2026-07-15","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","https://opengeodata.lgl-bw.de/#/(sidenav:product/hk)","Datenquelle: LGL, www.lgl-bw.de, dl-de/by-2-0; Daten bearbeitet, abgerufen am 28.08.2026."
"LAND-HB","Bremen","ALKIS – Gebäudeadressen Land Bremen","Landesamt GeoInformation Bremen","2026-08","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/","https://gdi2.geo.bremen.de/inspire/download/ALKIS_Gebaeudeadressen/data/GEBAEUDEADRESSEN_SHP_FHB.zip","Landesamt GeoInformation Bremen; ALKIS – Gebäudeadressen Land Bremen; CC BY 4.0; Quelle verändert, abgerufen am 28.08.2026."
"LAND-HE","Hessen","Hauskoordinaten ohne Postalische Angaben","Hessisches Landesamt für Bodenmanagement und Geoinformation","Version 2026-01; Abruf 2026-08-28","DL-DE-ZERO-2.0","https://www.govdata.de/dl-de/zero-2-0","https://hvbg.hessen.de/liegenschaftskataster/hauskoordinaten","Hessisches Landesamt für Bodenmanagement und Geoinformation (HLBG), Hauskoordinaten ohne Postalische Angaben, Version 2026-01; dl-de/zero-2-0; bearbeiteter Export."
"LAND-HH","Hamburg","Zentraler AdressService Hamburg – Hauskoordinaten","Freie und Hansestadt Hamburg, Landesbetrieb Geoinformation und Vermessung","Abruf 2026-08-28","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","https://api.hamburg.de/datasets/v1/gages_vereinfacht/collections/hauskoordinaten","Freie und Hansestadt Hamburg, Landesbetrieb Geoinformation und Vermessung; Zentraler AdressService Hamburg, Collection Hauskoordinaten; dl-de/by-2-0; Quelle verändert, abgerufen am 28.08.2026."
"LAND-NI","Niedersachsen","ALKIS Open Data und ALKIS Straßennamen","Landesamt für Geoinformation und Landesvermessung Niedersachsen","Abruf 2026-08-28 / 2026-08-21","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/","https://opendata.lgln.niedersachsen.de/doorman/noauth/alkis_wfs_sf","LGLN (2026), ALKIS Open Data und ALKIS Straßennamen, CC BY 4.0; Quelle verändert, abgerufen am 28.08.2026."
"LAND-NW","Nordrhein-Westfalen","Gebäudereferenzen NRW und INSPIRE NW Adressen ALKIS","Geobasis NRW, Bezirksregierung Köln","2026-07-01 / Abruf 2026-08-28","DL-DE-ZERO-2.0","https://www.govdata.de/dl-de/zero-2-0","https://www.opengeodata.nrw.de/produkte/geobasis/lk/akt/gebref_txt/","Geobasis NRW, Bezirksregierung Köln; Gebäudereferenzen NRW und INSPIRE NW Adressen ALKIS; dl-de/zero-2-0; bearbeiteter Export."
"LAND-RP","Rheinland-Pfalz","Amtliche Gebäudereferenz / Hauskoordinaten ohne postalische Anreicherung","GeoBasis-DE / LVermGeoRP","2026-03-30","DL-DE-BY-2.0","https://www.govdata.de/dl-de/by-2-0","https://geoshop.rlp.de/opendata-hk.html","© GeoBasis-DE / LVermGeoRP 2026, dl-de/by-2-0, www.lvermgeo.rlp.de, Daten bearbeitet; abgerufen am 28.08.2026."
"LAND-SH","Schleswig-Holstein","Hauskoordinaten aus ALKIS ohne PLZ-Abgleich","GeoBasis-DE / LVermGeo SH","2026-06-01","CC-BY-4.0","https://creativecommons.org/licenses/by/4.0/","https://geodaten.schleswig-holstein.de/gaialight-sh/_apps/dladownload/dl-hk_alkis.html","© GeoBasis-DE/LVermGeo SH/CC BY 4.0 (Quelle verändert); Hauskoordinaten aus ALKIS ohne PLZ-Abgleich; Datenstand 01.06.2026, abgerufen am 27.08.2026."
